vid,name,state,uuid,graph_index,volume_type,attachments
volume-1,volume-1,available,eeb520cd-b253-4c2c-beaf-5b2e7cd1c4b7,7,lvmdriver-1,[]
image-c2f047f0-faf9-4985-ae4f-bbccf9ae25dc,image-c2f047f0-faf9-4985-ae4f-bbccf9ae25dc,available,c4459ada-0794-40af-b930-f8ce33d77de2,8,lvmdriver-1,[]
5d4bc7eb-bbc3-464e-9782-315683c2b097,5d4bc7eb-bbc3-464e-9782-315683c2b097,available,5d4bc7eb-bbc3-464e-9782-315683c2b097,9,lvmdriver-1,[]
ffaeb199-47f4-4d95-89b2-97fba3c1bcfe,ffaeb199-47f4-4d95-89b2-97fba3c1bcfe,in-use,ffaeb199-47f4-4d95-89b2-97fba3c1bcfe,15,lvmdriver-1,['f00389e2-a8e7-4bd8-bfd7-dc8723b1afd9']
99187cfc-ceea-496a-a572-a9bb14e586ed,99187cfc-ceea-496a-a572-a9bb14e586ed,in-use,99187cfc-ceea-496a-a572-a9bb14e586ed,18,lvmdriver-1,['a2a7989c-06d5-4324-9b74-cc5dff0b201a']
c9db7c2e-c712-49d6-8019-14b82de8542d,c9db7c2e-c712-49d6-8019-14b82de8542d,in-use,c9db7c2e-c712-49d6-8019-14b82de8542d,19,lvmdriver-1,['22e3f5ab-270f-405d-9a20-9649d380abd7']
volume-2,volume-2,in-use,6f3873ad-cb1a-43cc-b5f1-73f796eb2088,22,multiattach,"['89bf047c-841f-4f13-b4a9-10411e7bee37', '22e3f5ab-270f-405d-9a20-9649d380abd7']"
